sku_id,name,raw_category,price,applicability
MR-1001,All-Weather Floor Liners (Front Row),Floor Liners,129,Talon
MR-1002,All-Weather Floor Liners (Second Row),Floor Liners,99,Talon
MR-1003,Carpet Floor Mats (Set of 4),Floor Mats,79,Talon
MR-1004,Heavy-Duty Bed Mat,Bed Protection,139,Talon
MR-1005,Drop-In Bed Liner,Bed Protection,349,Talon
MR-1006,Splash Guards (Set of 4),Exterior Protection,89,Talon
MR-1007,Full Vehicle Cover,Covers,219,Talon
MR-1008,Cloth Seat Covers (Front),Seat Covers,189,Talon
MR-1009,Door Edge Guards,Exterior Protection,45,All
MR-1010,Paint Protection Film - Hood & Fenders,Paint Protection,299,Talon
MR-1011,Wheel Locks,Security,65,All
MR-1012,Mud Flaps - Rear Pair,Exterior Protection,75,Talon
MR-1013,Windshield Sunshade,Interior Protection,42,All
MR-1014,All-Weather Cargo Area Liner,Cargo Protection,119,Caldera
MR-1015,Rear Bumper Protector,Exterior Protection,59,Talon
MR-2001,Running Boards - Black (Crew Cab),Running Boards,549,Talon
MR-2002,Chrome Exhaust Tip,Exterior Trim,89,Talon
MR-2003,18-inch Alloy Wheel - Silver,Wheels,289,Talon
MR-2004,Body Side Moldings,Exterior Trim,129,Talon
MR-3001,Trailer Hitch Receiver - Class IV,Towing,429,Talon
MR-3002,Trailer Wiring Harness (7-Pin),Towing,79,Talon
MR-3003,Tow Mirrors,Towing,359,Talon
MR-3004,Soft Roll-Up Tonneau Cover,Tonneau Covers,479,Talon
MR-3005,Bed Extender,Bed Accessories,289,Talon
MR-3006,Bed Cargo Divider,Bed Accessories,199,Talon
MR-3007,Crossbar Roof Rack Set,Racks and Carriers,339,Caldera
MR-3008,Bed Tie-Down Cleats (Set of 4),Bed Accessories,69,Talon
MR-3009,Under-Seat Storage Bin,Interior Storage,179,Talon
MR-4001,Meridian Sport Cat-Back Exhaust,Performance Parts,1249,Talon
MR-5001,Basecamp Bed Tent,Camping and Outdoor,329,Talon
MR-6001,Cabin Air Ionizer,Comfort,129,All
MR-6002,Power Tailgate Assist,Convenience,249,Talon
MR-6003,Emergency Roadside Assistance Kit,Safety,89,All
