competitor,sku_id,name,raw_category,price
Northstar Motors,NS-101,TrailShield Floor Liner Set,Floor Liners,149
Northstar Motors,NS-102,Premium Bed Mat,Bed Protection,129
Northstar Motors,NS-103,Splash Guard Set,Exterior Protection,85
Northstar Motors,NS-104,Neoprene Seat Covers,Seat Covers,219
Northstar Motors,NS-105,Paint Protection Film - Front Kit,Paint Protection,329
Northstar Motors,NS-201,Summit Series Running Boards - Stainless,Running Boards,599
Northstar Motors,NS-202,Summit Series Running Boards - Black Powder Coat,Running Boards,549
Northstar Motors,NS-203,20-inch Forged Wheel - Gunmetal,Wheels,449
Northstar Motors,NS-204,2-inch Factory Lift Kit,Lift Kits,1899
Northstar Motors,NS-205,Off-Road Light Bar - 30 inch,Exterior Lighting,389
Northstar Motors,NS-206,Blackout Badge Kit,Exterior Trim,149
Northstar Motors,NS-207,Sport Graphics Package,Exterior Trim,299
Northstar Motors,NS-208,Fender Flares - Textured,Exterior Trim,429
Northstar Motors,NS-209,Brush Guard - Matte Black,Off-Road Styling,519
Northstar Motors,NS-301,Class IV Tow Package,Towing,449
Northstar Motors,NS-302,Hard Folding Tonneau Cover,Tonneau Covers,899
Northstar Motors,NS-303,Adventure Rack - Overland Bed Rack,Racks and Carriers,749
Northstar Motors,NS-304,Cargo Management Rail System,Cargo Management,249
Northstar Motors,NS-305,Recovery Winch - 12000 lb,Off-Road Equipment,999
Northstar Motors,NS-401,Performance Cat-Back Exhaust - Stainless,Performance Parts,1195
Northstar Motors,NS-402,Cold Air Intake,Performance Parts,379
Northstar Motors,NS-501,Basecamp Rooftop Tent,Camping and Outdoor,2199
Northstar Motors,NS-502,Dual-Zone Electric Cooler,Camping and Outdoor,449
Northstar Motors,NS-503,Pet Barrier & Seat Protector,Pet Accessories,189
Copperline Auto,CL-01,All-Season Floor Liners,Floor Liners,119
Copperline Auto,CL-02,Carpet Mats,Floor Mats,69
Copperline Auto,CL-03,Bed Mat,Bed Protection,119
Copperline Auto,CL-04,Mud Flaps,Exterior Protection,65
Copperline Auto,CL-05,Vehicle Cover,Covers,199
Copperline Auto,CL-06,Seat Covers - Canvas,Seat Covers,179
Copperline Auto,CL-07,Wheel Locks,Security,59
Copperline Auto,CL-08,Running Boards - Black,Running Boards,499
Copperline Auto,CL-09,19-inch Alloy Wheel,Wheels,319
Copperline Auto,CL-10,Chrome Grille Insert,Exterior Trim,179
Copperline Auto,CL-11,Trailer Hitch - Class III,Towing,389
Copperline Auto,CL-12,Soft Tonneau Cover,Tonneau Covers,449
Copperline Auto,CL-13,Roof Crossbars,Racks and Carriers,299
Copperline Auto,CL-14,Bed Tie-Down Kit,Bed Accessories,59
Copperline Auto,CL-15,Speedworks Cat-Back Exhaust,Performance Parts,1149
Copperline Auto,CL-16,Speedworks Cold Air Intake,Performance Parts,349
Copperline Auto,CL-17,Speedworks Lowering Springs,Performance Parts,429
Copperline Auto,CL-18,Speedworks Sport Sway Bar,Performance Parts,289
Copperline Auto,CL-19,Speedworks Performance Tuner,Performance Parts,599
Copperline Auto,CL-20,Bed Cargo Net,Bed Accessories,45
Vantage Trucks,VT-01,Floor Liner Set,Floor Liners,109
Vantage Trucks,VT-02,Carpet Mats,Floor Mats,59
Vantage Trucks,VT-03,Bed Mat,Bed Protection,109
Vantage Trucks,VT-04,Splash Guards,Exterior Protection,69
Vantage Trucks,VT-05,Seat Covers,Seat Covers,159
Vantage Trucks,VT-06,Vehicle Cover,Covers,189
Vantage Trucks,VT-07,Door Sill Protectors,Interior Protection,49
Vantage Trucks,VT-08,Wheel Locks,Security,55
Vantage Trucks,VT-09,Running Boards,Running Boards,479
Vantage Trucks,VT-10,Chrome Mirror Caps,Exterior Trim,99
Vantage Trucks,VT-11,Trailer Hitch,Towing,399
Vantage Trucks,VT-12,Roof Rack Crossbars,Racks and Carriers,279
Vantage Trucks,VT-13,Cargo Organizer,Interior Storage,89
Vantage Trucks,VT-14,Bed Extender,Bed Accessories,249
