competitor,sku_id,name,raw_category,price
Barista Culture,BC-01,Cleaning Tablets,Cleaning and Care,16
Barista Culture,BC-02,Descaler,Cleaning and Care,17
Barista Culture,BC-03,Water Filter Kit,Water Treatment,25
Barista Culture,BC-04,Walnut Handle & Knob Set,Machine Customization,129
Barista Culture,BC-05,Anodized Side Panels - Midnight Blue,Machine Customization,149
Barista Culture,BC-06,Custom Engraved Portafilter Handle,Machine Customization,89
Barista Culture,BC-07,Brass Steam Knob Kit,Machine Customization,69
Barista Culture,BC-08,Bottomless Portafilter 58mm,Brewing Upgrades,85
Barista Culture,BC-09,Precision Basket Set (15/18/20g),Brewing Upgrades,75
Barista Culture,BC-10,Flow Control Device,Brewing Upgrades,119
Barista Culture,BC-11,Espresso Scale with Timer,Workflow Tools,95
Barista Culture,BC-12,Knock Box - Large,Workflow Tools,59
Barista Culture,BC-13,Latte Art Milk Pitcher Set,Workflow Tools,49
Barista Culture,BC-14,Ceramic Cortado Glasses (Set of 4),Drinkware,36
Modena Espresso,ME-01,Descaling Powder,Cleaning and Care,14
Modena Espresso,ME-02,Cleaning Tablets (60ct),Cleaning and Care,19
Modena Espresso,ME-03,Group Gasket,Parts and Gaskets,7
Modena Espresso,ME-04,Shower Screen,Parts and Gaskets,11
Modena Espresso,ME-05,Water Filter,Water Treatment,21
Modena Espresso,ME-06,Steam Wand Assembly,Parts and Gaskets,39
Modena Espresso,ME-07,Standard Tamper,Workflow Tools,25
Modena Espresso,ME-08,Milk Jug 20oz,Accessories,22
Modena Espresso,ME-09,Precision Basket 18g,Brewing Upgrades,29
Modena Espresso,ME-10,Machine Cover,Cleaning and Care,15
