sku_id,name,raw_category,price,applicability
SE-01,Descaling Solution (2-Pack),Cleaning and Care,18,All machines
SE-02,Espresso Machine Cleaning Tablets (30ct),Cleaning and Care,15,All machines
SE-03,Group Head Brush,Cleaning and Care,9,All machines
SE-04,Backflush Blind Basket,Cleaning and Care,12,Lumen / Meridiana
SE-05,Replacement Group Gasket,Spare Parts,8,Lumen / Meridiana
SE-06,Water Softener Filter,Water Treatment,22,All machines
SE-07,Microfiber Cloth Set,Cleaning and Care,11,All machines
SE-08,Steam Wand Tip (Replacement),Parts and Gaskets,14,Lumen
SE-09,Water Hardness Test Strips,Water Treatment,7,All machines
SE-10,Precision Coffee Scale,Workflow Tools,89,All machines
SE-11,Knock Box - Compact,Workflow Tools,39,All machines
SE-12,Milk Pitcher 12oz,Workflow Tools,24,All machines
SE-13,Tamping Mat,Workflow Tools,19,All machines
SE-14,Flat-Base Tamper 58mm,Workflow Tools,35,Lumen / Meridiana
SE-15,Countertop Organizer Tray,Workflow Tools,45,All machines
SE-16,Bottomless Portafilter 58mm,Brewing Upgrades,79,Lumen / Meridiana
SE-17,Precision Basket 18g,Brewing Upgrades,32,Lumen / Meridiana
SE-18,Walnut Tamper Handle,Machine Customization,49,Lumen / Meridiana
SE-19,Solstice Logo Espresso Cups (Set of 2),Barware,28,All machines
SE-20,Smart Shot Timer,Gadgets,59,Lumen / Meridiana
